Source, Target,Type,Id,Label,timeset,Weight
0,1,Unidirected,0,,,10
0,2,Unidirected,1,,,7
0,3,Unidirected,2,,,3
0,4,Unidirected,3,,,1
0,5,Unidirected,4,,,1
0,6,Unidirected,5,,,1
0,7,Unidirected,6,,,1
0,8,Unidirected,7,,,4
0,9,Unidirected,8,,,4
0,10,Unidirected,9,,,8
0,11,Unidirected,10,,,5
0,12,Unidirected,11,,,2
0,13,Unidirected,12,,,2
0,14,Unidirected,13,,,2
0,15,Unidirected,14,,,1
0,16,Unidirected,15,,,1
0,17,Unidirected,16,,,1
0,18,Unidirected,17,,,4
0,19,Unidirected,18,,,1
0,20,Unidirected,19,,,1
0,21,Unidirected,20,,,9
0,22,Unidirected,21,,,1
0,23,Unidirected,22,,,4
0,24,Unidirected,23,,,2
0,25,Unidirected,24,,,1
0,26,Unidirected,25,,,3
0,27,Unidirected,26,,,1
0,28,Unidirected,27,,,1
0,29,Unidirected,28,,,2
0,30,Unidirected,29,,,1
0,31,Unidirected,30,,,1
0,32,Unidirected,31,,,1
0,33,Unidirected,32,,,9
0,34,Unidirected,33,,,1
0,35,Unidirected,34,,,1
0,36,Unidirected,35,,,5
0,37,Unidirected,36,,,1
0,38,Unidirected,37,,,1
0,39,Unidirected,38,,,1
0,40,Unidirected,39,,,1
0,41,Unidirected,40,,,1
0,42,Unidirected,41,,,1
0,43,Unidirected,42,,,4
0,44,Unidirected,43,,,2
0,45,Unidirected,44,,,1
0,46,Unidirected,45,,,5
0,47,Unidirected,46,,,1
0,48,Unidirected,47,,,1
0,49,Unidirected,48,,,4
0,50,Unidirected,49,,,4
0,51,Unidirected,50,,,1
0,52,Unidirected,51,,,1
0,53,Unidirected,52,,,1
0,54,Unidirected,53,,,1
0,55,Unidirected,54,,,1
0,56,Unidirected,55,,,6
0,57,Unidirected,56,,,2
0,58,Unidirected,57,,,1
0,59,Unidirected,58,,,1
0,60,Unidirected,59,,,17
0,61,Unidirected,60,,,1
0,62,Unidirected,61,,,2
0,63,Unidirected,62,,,1
0,64,Unidirected,63,,,3
0,65,Unidirected,64,,,9
0,66,Unidirected,65,,,1
0,67,Unidirected,66,,,4
0,68,Unidirected,67,,,3
0,69,Unidirected,68,,,4
0,70,Unidirected,69,,,1
0,71,Unidirected,70,,,1
0,72,Unidirected,71,,,1
0,73,Unidirected,72,,,1
0,74,Unidirected,73,,,1
0,75,Unidirected,74,,,1
0,76,Unidirected,75,,,3
0,77,Unidirected,76,,,1
0,78,Unidirected,77,,,1
0,79,Unidirected,78,,,2
0,80,Unidirected,79,,,1
0,81,Unidirected,80,,,1
0,82,Unidirected,81,,,3
0,83,Unidirected,82,,,12
0,84,Unidirected,83,,,2
0,85,Unidirected,84,,,1
0,86,Unidirected,85,,,1
0,87,Unidirected,86,,,1
0,88,Unidirected,87,,,1
0,89,Unidirected,88,,,2
0,90,Unidirected,89,,,2
0,91,Unidirected,90,,,1
0,92,Unidirected,91,,,1
0,93,Unidirected,92,,,7
0,94,Unidirected,93,,,1
0,95,Unidirected,94,,,1
0,96,Unidirected,95,,,1
0,97,Unidirected,96,,,1
0,98,Unidirected,97,,,1
0,99,Unidirected,98,,,2
0,100,Unidirected,99,,,1
0,101,Unidirected,100,,,1
0,102,Unidirected,101,,,7
0,103,Unidirected,102,,,1
0,104,Unidirected,103,,,1
0,105,Unidirected,104,,,1
0,106,Unidirected,105,,,1
0,107,Unidirected,106,,,1
0,108,Unidirected,107,,,1
0,109,Unidirected,108,,,1
0,110,Unidirected,109,,,3
0,111,Unidirected,110,,,1
0,112,Unidirected,111,,,1
0,113,Unidirected,112,,,1
0,114,Unidirected,113,,,1
0,115,Unidirected,114,,,1
0,116,Unidirected,115,,,1
0,117,Unidirected,116,,,3
0,118,Unidirected,117,,,1
0,119,Unidirected,118,,,1
0,120,Unidirected,119,,,8
0,121,Unidirected,120,,,3
0,122,Unidirected,121,,,1
0,123,Unidirected,122,,,1
0,124,Unidirected,123,,,1
0,125,Unidirected,124,,,4
0,126,Unidirected,125,,,1
0,127,Unidirected,126,,,1
0,128,Unidirected,127,,,3
0,129,Unidirected,128,,,2
0,130,Unidirected,129,,,3
0,131,Unidirected,130,,,1
0,132,Unidirected,131,,,4
0,133,Unidirected,132,,,1
0,134,Unidirected,133,,,1
0,135,Unidirected,134,,,1
0,136,Unidirected,135,,,1
0,137,Unidirected,136,,,2
0,138,Unidirected,137,,,3
0,139,Unidirected,138,,,2
0,140,Unidirected,139,,,2
0,141,Unidirected,140,,,2
0,142,Unidirected,141,,,1
0,143,Unidirected,142,,,1
0,144,Unidirected,143,,,4
0,145,Unidirected,144,,,1
0,146,Unidirected,145,,,3
0,147,Unidirected,146,,,2
0,148,Unidirected,147,,,1
0,149,Unidirected,148,,,1
0,150,Unidirected,149,,,1
0,151,Unidirected,150,,,1
0,152,Unidirected,151,,,1
0,153,Unidirected,152,,,2
0,154,Unidirected,153,,,1
0,155,Unidirected,154,,,1
0,156,Unidirected,155,,,1
0,157,Unidirected,156,,,1
0,158,Unidirected,157,,,1
0,159,Unidirected,158,,,1
